,Batsmen,Country,Runs,OUT,Mins,Balls,4's,6's,SR,inn,opp,ground,date,Year,100's,50's,30's,Stadium,cont
0,AJ Finch,Australia,172,1,-,76,16,10,226.31,1,Zimbabwe,Harare,3-Jul-18,2018,1,1,1,Zimbabwe,Africa
1,AJ Finch,Australia,156,1,70,63,11,14,247.61,1,England,Southampton,29-Aug-13,2013,1,1,1,England,Europe
2,GJ Maxwell,Australia,145,0,-,65,14,9,223.07,1,Sri Lanka,Pallekele,6-Sep-16,2016,1,1,1,Sri Lanka,Asia
3,E Lewis,West Indies,125,0,-,62,6,12,201.61,2,India,Kingston,9-Jul-17,2017,1,1,1,West Indies,North America
4,SR Watson,Australia,124,0,86,71,10,6,174.64,1,India,Sydney,31-Jan-16,2016,1,1,1,Australia,Australia
5,BB McCullum,New Zealand,123,1,72,58,11,7,212.06,1,Bangladesh,Pallekele,21-Sep-12,2012,1,1,1,Sri Lanka,Asia
6,F du Plessis,South Africa,119,1,99,56,11,5,212.5,1,West Indies,Johannesburg,11-Jan-15,2015,1,1,1,South Africa,Africa
7,RG Sharma,INDIA,118,1,61,43,12,10,274.41,1,Sri Lanka,Indore,22-Dec-17,2017,1,1,1,India,Asia
8,RE Levi,South Africa,117,0,67,51,5,13,229.41,2,New Zealand,Hamilton,19-Feb-12,2012,1,1,1,New Zealand,Australia
9,CH Gayle,West Indies,117,1,75,57,7,10,205.26,1,South Africa,Johannesburg,11-Sep-07,2007,1,1,1,South Africa,Africa
10,BB McCullum,New Zealand,116,0,87,56,12,8,207.14,1,Australia,Christchurch,28-Feb-10,2010,1,1,1,New Zealand,Australia
11,AD Hales,England,116,0,97,64,11,6,181.25,2,Sri Lanka,Chattogram,27-Mar-14,2014,1,1,1,Bangladesh,Asia
12,MN van Wyk,South Africa,114,0,85,70,9,7,162.85,1,West Indies,Durban,14-Jan-15,2015,1,1,1,South Africa,Africa
13,GJ Maxwell,Australia,113,0,74,55,7,9,205.45,2,India,Bengaluru,27-Feb-19,2019,1,1,1,India,Asia
14,RG Sharma,INDIA,111,0,95,61,8,7,181.96,1,West Indies,Lucknow,6-Nov-18,2018,1,1,1,India,Asia
15,KL Rahul,INDIA,110,0,84,51,12,5,215.68,2,West Indies,Lauderhill,27-Aug-16,2016,1,1,1,United States of America,North America
16,C Munro,New Zealand,109,0,87,58,7,7,187.93,1,India,Rajkot,4-Nov-17,2017,1,1,1,India,Asia
